Timestamp,QueueOccupancy,TotalPackets,TotalBytes,AggregateThroughput,Flow1_Throughput,Flow1_Delay,Flow1_DropRate,Flow2_Throughput,Flow2_Delay,Flow2_DropRate,Flow3_Throughput,Flow3_Delay,Flow3_DropRate
0.001,6,8,284,384090.018,384090.018,1.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.101,71,204,109534,1085889.471,281757.853,11.885,0.000,328173.893,11.968,0.000,475957.726,13.968,0.000
0.201,114,382,216854,1078847.577,292937.659,23.934,0.000,355732.046,24.728,0.000,430177.872,24.743,0.000
0.301,149,556,327265,1086716.958,298100.443,34.110,0.000,354753.241,34.684,0.000,433863.274,38.302,0.000
0.401,187,718,434707,1083342.542,310296.506,44.687,0.000,374301.656,45.200,0.000,398744.381,45.875,0.000
0.501,264,885,511396,1020013.345,290380.963,49.641,0.000,349735.274,51.081,0.000,379897.109,51.040,0.000
0.602,347,1062,583184,969492.451,286234.208,60.320,0.000,332281.375,59.439,0.000,350976.868,55.963,0.000
0.702,420,1232,653252,930977.299,277268.632,71.018,0.000,322685.079,69.429,0.000,331023.588,63.897,0.000
0.802,502,1408,725279,904551.393,269826.775,80.591,0.000,317466.448,79.775,0.000,317258.169,72.269,0.000
0.902,598,1595,797496,884183.866,258853.747,88.067,0.002,301108.524,87.539,0.000,324221.595,83.791,0.003
1.002,598,1681,869181,867375.347,258787.271,104.418,0.044,294201.548,104.354,0.047,314386.528,93.723,0.052
1.102,599,1773,941066,853821.615,250718.338,115.571,0.076,285644.542,117.513,0.077,317458.735,115.696,0.112
1.202,600,1874,1011284,841100.573,245461.699,133.584,0.112,284461.670,135.004,0.093,311177.204,134.362,0.142
1.302,600,1959,1082619,831209.667,243190.206,148.465,0.139,281010.119,150.258,0.127,307009.342,151.733,0.183
1.403,599,2056,1155609,823944.880,240150.683,163.730,0.159,274152.048,165.214,0.147,309642.149,178.268,0.210
1.503,600,2148,1226187,816010.567,234124.046,179.516,0.178,270725.789,181.702,0.161,311160.732,200.511,0.237
1.603,600,2246,1297762,809685.564,232316.309,199.708,0.195,270520.137,203.254,0.179,306849.118,218.734,0.253
1.704,600,2342,1369826,804065.310,233526.704,222.875,0.206,268466.899,220.771,0.192,302071.707,231.894,0.270
1.804,599,2431,1441959,799427.451,229414.482,234.018,0.227,272405.719,245.098,0.210,297607.250,242.441,0.281
1.904,600,2524,1513365,794900.154,228134.372,251.271,0.244,270715.091,257.848,0.222,296050.691,256.753,0.296
2.004,599,2614,1585330,791090.493,229250.223,268.586,0.260,269052.006,272.615,0.236,292788.264,266.095,0.305
2.104,600,2705,1655858,786968.090,227256.998,281.609,0.268,269920.885,288.058,0.245,289790.207,275.001,0.318
2.204,600,2803,1727501,783718.327,227025.034,295.481,0.279,266802.516,298.275,0.252,289890.777,289.367,0.319
2.304,598,2888,1799386,780857.494,225318.239,306.392,0.289,267582.686,308.836,0.259,287956.568,300.838,0.332
